iter	Passed	Remaining
1133	7302	57092
1134	7309	57092
1135	7314	57072
1136	7321	57070
1137	7326	57051
1138	7330	57031
1139	7338	57035
1140	7343	57016
1141	7354	57043
1142	7359	57024
1143	7365	57019
1144	7373	57021
1145	7378	57004
1146	7386	57015
1147	7392	57001
1148	7401	57012
1149	7405	56993
1150	7411	56979
1151	7421	57003
1152	7426	56984
1153	7433	56981
1154	7438	56965
1155	7443	56945
1156	7449	56936
1157	7454	56918
1158	7459	56898
1159	7464	56887
1160	7469	56866
1161	7473	56844
1162	7479	56832
1163	7484	56812
1164	7488	56789
1165	7494	56783
1166	7500	56769
1167	7504	56746
1168	7510	56736
1169	7518	56738
1170	7523	56725
1171	7530	56720
1172	7535	56702
1173	7539	56680
1174	7546	56676
1175	7551	56658
1176	7555	56641
1177	7561	56629
1178	7566	56614
1179	7573	56612
1180	7578	56595
1181	7583	56576
1182	7591	56580
1183	7596	56559
1184	7618	56672
1185	7628	56691
1186	7633	56678
1187	7641	56679
1188	7647	56668
1189	7655	56678
1190	7660	56660
1191	7666	56650
1192	7673	56647
1193	7678	56633
1194	7683	56616
1195	7690	56609
1196	7695	56596
1197	7700	56578
1198	7708	56579
1199	7715	56577
1200	7722	56581
1201	7727	56562
1202	7732	56545
1203	7739	56541
1204	7744	56523
1205	7748	56502
1206	7754	56494
1207	7759	56476
1208	7764	56460
1209	7771	56454
1210	7775	56433
1211	7783	56439
1212	7789	56427
1213	7794	56407
1214	7799	56396
1215	7804	56376
1216	7810	56369
1217	7818	56370
1218	7823	56355
1219	7828	56341
1220	7835	56333
1221	7839	56312
1222	7844	56295
1223	7850	56290
1224	7855	56272
1225	7860	56255
1226	7868	56257
1227	7873	56243
1228	7879	56234
1229	7886	56232
1230	7891	56213
1231	7897	56207
1232	7903	56192
1233	7907	56174
1234	7914	56168
1235	7919	56155
1236	7924	56135
1237	7930	56129
1238	7936	56121
1239	7942	56111
1240	7948	56103
1241	7954	56088
1242	7961	56090
1243	7967	56076
1244	7971	56057
1245	7980	56068
1246	7986	56058
1247	7993	56053
1248	7999	56045
1249	8004	56028
1250	8011	56028
1251	8015	56007
1252	8020	55989
1253	8027	55989
1254	8032	55970
1255	8037	55952
1256	8043	55945
1257	8048	55929
1258	8054	55918
1259	8059	55902
1260	8064	55886
1261	8069	55872
1262	8075	55860
1263	8079	55841
1264	8085	55830
1265	8090	55816
1266	8095	55799
1267	8100	55783
1268	8107	55777
1269	8111	55758
1270	8116	55744
1271	8122	55735
1272	8128	55721
1273	8134	55715
1274	8139	55696
1275	8144	55681
1276	8148	55664
1277	8154	55652
1278	8159	55636
1279	8164	55617
1280	8169	55604
1281	8174	55586
1282	8178	55566
1283	8184	55556
1284	8189	55542
1285	8193	55522
1286	8199	55509
1287	8205	55502
1288	8210	55489
1289	8217	55484
1290	8222	55467
1291	8226	55449
1292	8233	55442
1293	8237	55422
1294	8242	55403
1295	8247	55393
1296	8252	55373
1297	8256	55355
1298	8261	55336
1299	8267	55327
1300	8271	55307
1301	8276	55289
1302	8282	55283
1303	8287	55265
1304	8291	55246
1305	8298	55240
1306	8303	55227
1307	8308	55210
1308	8314	55203
1309	8319	55186
1310	8324	55171
1311	8329	55157
1312	8334	55140
1313	8339	55124
1314	8344	55112
1315	8349	55095
1316	8354	55079
1317	8359	55068
1318	8364	55051
1319	8370	55043
1320	8377	55037
1321	8381	55020
1322	8387	55009
1323	8393	54998
1324	8398	54985
1325	8404	54976
1326	8410	54969
1327	8415	54955
1328	8420	54939
1329	8426	54928
1330	8431	54914
1331	8435	54896
1332	8441	54887
1333	8447	54877
1334	8452	54859
1335	8460	54864
1336	8464	54847
1337	8469	54830
1338	8478	54843
1339	8483	54826
1340	8490	54825
1341	8495	54810
1342	8504	54817
1343	8510	54812
1344	8515	54799
1345	8527	54824
1346	8532	54811
1347	8541	54823
1348	8546	54807
1349	8554	54812
1350	8560	54804
1351	8574	54848
1352	8587	54883
1353	8593	54874
1354	8598	54861
1355	8606	54862
1356	8612	54852
1357	8617	54841
1358	8622	54823
1359	8627	54807
1360	8632	54792
1361	8636	54775
1362	8641	54760
1363	8646	54741
1364	8651	54730
1365	8656	54715
1366	8661	54697
1367	8666	54687
1368	8671	54673
1369	8676	54655
1370	8682	54644
1371	8687	54631
1372	8691	54614
1373	8697	54604
1374	8703	54595
1375	8708	54581
1376	8714	54572
1377	8719	54556
1378	8724	54539
1379	8729	54526
1380	8734	54513
1381	8738	54494
1382	8743	54477
1383	8750	54473
1384	8754	54456
1385	8759	54438
1386	8765	54430
1387	8769	54413
1388	8774	54396
1389	8780	54391
1390	8785	54375
1391	8789	54356
